provider_id,hospital_name,speciality,city,state,tier,bed_capacity,accreditation
H0001,Lilavati Hospital Hyderabad,General Medicine,Bhopal,Madhya Pradesh,Tier 2,750,NABH
H0002,Sahyadri Hospital Vadodara,Cardiology,Jaipur,Rajasthan,Tier 1,50,ISO
H0003,Global Hospital Kolkata,Urology,Surat,Gujarat,Tier 1,300,NABL
H0004,Max Hospital Coimbatore,Nephrology,Pune,Maharashtra,Tier 3,150,NABL
H0005,Care Hospital Bangalore,ENT,Patna,Bihar,Tier 2,50,None
H0006,Narayana Hospital Kochi,General Medicine,Coimbatore,Tamil Nadu,Tier 2,150,NABH
H0007,Sir Ganga Ram Hospital Kochi,Neurology,Ahmedabad,Gujarat,Tier 1,150,NABH
H0008,Breach Candy Hospital Coimbatore,Dermatology,Vadodara,Gujarat,Tier 3,200,JCI
H0009,Sahyadri Hospital Patna,Cardiology,Hyderabad,Telangana,Tier 3,300,JCI
H0010,Narayana Hospital Chandigarh,Orthopedics,Bhopal,Madhya Pradesh,Tier 2,300,None
H0011,Breach Candy Hospital Kochi,Ophthalmology,Kolkata,West Bengal,Tier 3,100,None
H0012,Global Hospital Coimbatore,Gastroenterology,Chennai,Tamil Nadu,Tier 3,150,NABH
H0013,Global Hospital Jaipur,Gynecology,Mumbai,Maharashtra,Tier 2,150,JCI
H0014,KIMS Hospital Nagpur,Ophthalmology,Chennai,Tamil Nadu,Tier 2,150,ISO
H0015,KIMS Hospital Delhi,ENT,Bhopal,Madhya Pradesh,Tier 1,1000,None
H0016,Manipal Hospital Ahmedabad,Orthopedics,Coimbatore,Tamil Nadu,Tier 1,300,None
H0017,Manipal Hospital Patna,Neurology,Kolkata,West Bengal,Tier 1,1000,ISO
H0018,Columbia Asia Hospital Nagpur,Dermatology,Lucknow,Uttar Pradesh,Tier 1,300,JCI
H0019,Manipal Hospital Lucknow,Dermatology,Lucknow,Uttar Pradesh,Tier 1,150,NABH
H0020,Hinduja Hospital Nagpur,ENT,Chennai,Tamil Nadu,Tier 3,150,NABL
H0021,KIMS Hospital Pune,Oncology,Indore,Madhya Pradesh,Tier 1,200,JCI
H0022,Breach Candy Hospital Jaipur,Pulmonology,Pune,Maharashtra,Tier 3,150,ISO
H0023,Yashoda Hospital Bangalore,Dermatology,Nagpur,Maharashtra,Tier 2,500,ISO
H0024,AIIMS Hospital Bangalore,Nephrology,Mumbai,Maharashtra,Tier 1,200,ISO
H0025,Kokilaben Hospital Patna,Ophthalmology,Ahmedabad,Gujarat,Tier 2,150,NABL
H0026,Sahyadri Hospital Indore,Pulmonology,Coimbatore,Tamil Nadu,Tier 1,300,ISO
H0027,Columbia Asia Hospital Vadodara,Pediatrics,Hyderabad,Telangana,Tier 3,500,NABH
H0028,Fortis Hospital Patna,Nephrology,Kolkata,West Bengal,Tier 3,150,NABH
H0029,Sahyadri Hospital Visakhapatnam,Oncology,Bangalore,Karnataka,Tier 1,300,NABH
H0030,Ruby Hall Hospital Bhopal,Oncology,Delhi,Delhi,Tier 3,50,None
H0031,Wockhardt Hospital Patna,Oncology,Delhi,Delhi,Tier 2,200,NABH
H0032,Hinduja Hospital Bhopal,General Medicine,Visakhapatnam,Andhra Pradesh,Tier 1,50,None
H0033,Breach Candy Hospital Coimbatore,Gastroenterology,Lucknow,Uttar Pradesh,Tier 2,50,NABH
H0034,Ruby Hall Hospital Jaipur,Oncology,Visakhapatnam,Andhra Pradesh,Tier 2,200,NABL
H0035,Sir Ganga Ram Hospital Mumbai,Nephrology,Jaipur,Rajasthan,Tier 1,150,None
H0036,Narayana Hospital Patna,Nephrology,Surat,Gujarat,Tier 3,300,JCI
H0037,Columbia Asia Hospital Jaipur,Cardiology,Pune,Maharashtra,Tier 1,500,NABH
H0038,Max Hospital Indore,Ophthalmology,Visakhapatnam,Andhra Pradesh,Tier 2,100,NABH
H0039,Max Hospital Lucknow,Gastroenterology,Pune,Maharashtra,Tier 1,300,None
H0040,Sahyadri Hospital Kochi,Pediatrics,Lucknow,Uttar Pradesh,Tier 3,200,NABL
H0041,Yashoda Hospital Bangalore,Ophthalmology,Jaipur,Rajasthan,Tier 3,100,JCI
H0042,Lilavati Hospital Ahmedabad,ENT,Jaipur,Rajasthan,Tier 1,300,NABL
H0043,Medanta Hospital Chennai,ENT,Bangalore,Karnataka,Tier 2,200,NABL
H0044,Max Hospital Indore,Gastroenterology,Indore,Madhya Pradesh,Tier 1,200,NABH
H0045,Fortis Hospital Surat,Orthopedics,Chandigarh,Punjab,Tier 3,750,ISO
H0046,Manipal Hospital Chandigarh,General Medicine,Bhopal,Madhya Pradesh,Tier 1,200,ISO
H0047,Manipal Hospital Chandigarh,Pulmonology,Vadodara,Gujarat,Tier 3,1000,NABH
H0048,Lilavati Hospital Lucknow,ENT,Lucknow,Uttar Pradesh,Tier 3,200,None
H0049,Lilavati Hospital Kolkata,Oncology,Vadodara,Gujarat,Tier 2,100,None
H0050,Care Hospital Hyderabad,Pediatrics,Hyderabad,Telangana,Tier 1,200,None
H0051,Yashoda Hospital Jaipur,Pediatrics,Jaipur,Rajasthan,Tier 2,100,NABH
H0052,Apollo Hospital Lucknow,ENT,Mumbai,Maharashtra,Tier 2,200,NABH
H0053,Kokilaben Hospital Indore,Oncology,Patna,Bihar,Tier 2,300,None
H0054,Sir Ganga Ram Hospital Nagpur,Ophthalmology,Chennai,Tamil Nadu,Tier 2,200,NABH
H0055,KIMS Hospital Mumbai,Nephrology,Kolkata,West Bengal,Tier 2,50,NABH
H0056,Global Hospital Kochi,Pediatrics,Pune,Maharashtra,Tier 2,200,None
H0057,AIIMS Hospital Nagpur,Oncology,Patna,Bihar,Tier 3,50,NABH
H0058,Columbia Asia Hospital Ahmedabad,Oncology,Pune,Maharashtra,Tier 1,300,NABL
H0059,Manipal Hospital Coimbatore,General Medicine,Kolkata,West Bengal,Tier 2,300,NABL
H0060,Columbia Asia Hospital Kochi,Cardiology,Visakhapatnam,Andhra Pradesh,Tier 3,1000,None
H0061,KIMS Hospital Surat,Oncology,Bangalore,Karnataka,Tier 1,100,NABH
H0062,Wockhardt Hospital Patna,Pulmonology,Nagpur,Maharashtra,Tier 2,200,None
H0063,Ruby Hall Hospital Bangalore,Orthopedics,Delhi,Delhi,Tier 3,200,ISO
H0064,Ruby Hall Hospital Kolkata,Pediatrics,Bangalore,Karnataka,Tier 2,750,JCI
H0065,Hinduja Hospital Bhopal,General Medicine,Nagpur,Maharashtra,Tier 1,200,NABH
H0066,Manipal Hospital Patna,Ophthalmology,Jaipur,Rajasthan,Tier 1,100,NABH
H0067,Wockhardt Hospital Surat,Pediatrics,Vadodara,Gujarat,Tier 2,150,ISO
H0068,Apollo Hospital Indore,Cardiology,Surat,Gujarat,Tier 1,300,NABL
H0069,AIIMS Hospital Vadodara,Orthopedics,Hyderabad,Telangana,Tier 3,300,None
H0070,AIIMS Hospital Lucknow,Pediatrics,Lucknow,Uttar Pradesh,Tier 2,500,NABL
H0071,Apollo Hospital Coimbatore,Dermatology,Bhopal,Madhya Pradesh,Tier 1,100,JCI
H0072,Breach Candy Hospital Chandigarh,Nephrology,Kochi,Kerala,Tier 3,1000,NABL
H0073,Columbia Asia Hospital Bhopal,Neurology,Bangalore,Karnataka,Tier 2,50,None
H0074,Hinduja Hospital Nagpur,Nephrology,Kolkata,West Bengal,Tier 1,1000,NABL
H0075,Yashoda Hospital Lucknow,Gynecology,Jaipur,Rajasthan,Tier 2,500,NABH
H0076,Ruby Hall Hospital Vadodara,Dermatology,Hyderabad,Telangana,Tier 1,300,None
H0077,Apollo Hospital Vadodara,Orthopedics,Chennai,Tamil Nadu,Tier 3,300,JCI
H0078,Fortis Hospital Hyderabad,Gastroenterology,Bangalore,Karnataka,Tier 2,50,JCI
H0079,AIIMS Hospital Chandigarh,Nephrology,Nagpur,Maharashtra,Tier 3,50,ISO
H0080,KIMS Hospital Visakhapatnam,ENT,Jaipur,Rajasthan,Tier 2,100,ISO
H0081,Care Hospital Vadodara,Pulmonology,Kolkata,West Bengal,Tier 3,50,NABH
H0082,Sir Ganga Ram Hospital Nagpur,Dermatology,Ahmedabad,Gujarat,Tier 1,200,NABH
H0083,Manipal Hospital Nagpur,Pulmonology,Lucknow,Uttar Pradesh,Tier 3,100,None
H0084,Max Hospital Surat,General Medicine,Mumbai,Maharashtra,Tier 3,500,NABH
H0085,Sir Ganga Ram Hospital Kolkata,Dermatology,Visakhapatnam,Andhra Pradesh,Tier 2,150,ISO
H0086,Global Hospital Chennai,Pediatrics,Mumbai,Maharashtra,Tier 3,300,NABH
H0087,Ruby Hall Hospital Vadodara,Oncology,Vadodara,Gujarat,Tier 3,300,NABL
H0088,Wockhardt Hospital Lucknow,Gastroenterology,Delhi,Delhi,Tier 3,150,NABH
H0089,Max Hospital Pune,Cardiology,Indore,Madhya Pradesh,Tier 2,100,JCI
H0090,Medanta Hospital Surat,Cardiology,Nagpur,Maharashtra,Tier 2,150,ISO
H0091,Narayana Hospital Delhi,Gynecology,Bhopal,Madhya Pradesh,Tier 3,300,NABH
H0092,Care Hospital Coimbatore,Neurology,Hyderabad,Telangana,Tier 3,200,NABL
H0093,Apollo Hospital Pune,Neurology,Bangalore,Karnataka,Tier 2,150,None
H0094,Manipal Hospital Bangalore,Oncology,Kochi,Kerala,Tier 3,500,NABL
